service_mapping,policy,hour_index,trace_timestamp_anonymized,region,assigned_accelerator_hours,it_energy_kwh,facility_energy_kwh,carbon_kgco2e,direct_water_l,high_stress_direct_water_l,water_stress_category,latency_from_east_ms,migrated
triangulated_linear,E0_true_no_migration_status_quo,0,2024-05-10 00:00:00+00:00,east,94.07906417603628,62.092006987914836,77.61500873489354,41.75202376132679,71.40580803610206,0.0,medium_high,2.5,False
triangulated_linear,E0_true_no_migration_status_quo,0,2024-05-10 00:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
triangulated_linear,E0_true_no_migration_status_quo,0,2024-05-10 00:00:00+00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
triangulated_linear,E0_true_no_migration_status_quo,0,2024-05-10 00:00:00+00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
triangulated_linear,E0_true_no_migration_status_quo,1,2024-05-10 01:00:00+00:00,east,89.70520495646231,59.205268056097104,74.00658507012137,39.86364704802087,68.08605826451166,0.0,medium_high,2.5,False
triangulated_linear,E0_true_no_migration_status_quo,1,2024-05-10 01:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
triangulated_linear,E0_true_no_migration_status_quo,1,2024-05-10 01:00:00+00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
triangulated_linear,E0_true_no_migration_status_quo,1,2024-05-10 01:00:00+00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
triangulated_linear,E0_true_no_migration_status_quo,2,2024-05-10 02:00:00+00:00,east,82.02777105514414,54.138175992363244,67.67271999045406,36.2759615508829,62.258902391217724,0.0,medium_high,2.5,False
triangulated_linear,E0_true_no_migration_status_quo,2,2024-05-10 02:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
triangulated_linear,E0_true_no_migration_status_quo,2,2024-05-10 02:00:00+00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
triangulated_linear,E0_true_no_migration_status_quo,2,2024-05-10 02:00:00+00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
triangulated_linear,E0_true_no_migration_status_quo,3,2024-05-10 03:00:00+00:00,east,69.67874403373781,45.987841177463764,57.484801471829705,30.545986382093513,52.88601735408333,0.0,medium_high,2.5,False
triangulated_linear,E0_true_no_migration_status_quo,3,2024-05-10 03:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
triangulated_linear,E0_true_no_migration_status_quo,3,2024-05-10 03:00:00+00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
triangulated_linear,E0_true_no_migration_status_quo,3,2024-05-10 03:00:00+00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
triangulated_linear,E0_true_no_migration_status_quo,4,2024-05-10 04:00:00+00:00,east,56.73377356777202,37.444184800024615,46.805231000030766,24.685078829416227,43.06081252002831,0.0,medium_high,2.5,False
triangulated_linear,E0_true_no_migration_status_quo,4,2024-05-10 04:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
triangulated_linear,E0_true_no_migration_status_quo,4,2024-05-10 04:00:00+00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
triangulated_linear,E0_true_no_migration_status_quo,4,2024-05-10 04:00:00+00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
triangulated_linear,E0_true_no_migration_status_quo,5,2024-05-10 05:00:00+00:00,east,47.20650593154189,31.156205919435163,38.94525739929395,20.259809714830205,35.82963680735043,0.0,medium_high,2.5,False
triangulated_linear,E0_true_no_migration_status_quo,5,2024-05-10 05:00:00+00:00,north,0.0,0.0,0.0,0.0,0.0,0.0,extremely_high,14.693,True
triangulated_linear,E0_true_no_migration_status_quo,5,2024-05-10 05:00:00+00:00,northwest,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,high,18.956,True
triangulated_linear,E0_true_no_migration_status_quo,5,2024-05-10 05:00:00+00:00,southwest,0.0,0.0,0.0,0.0,0.0,0.0,low_medium,17.801,True
triangulated_linear,E0_true_no_migration_status_quo,6,2024-05-10 06:00:00+00:00,east,40.65976456290144,26.8353688195989,33.54421102449862,17.386383876635442,30.860674142538734,0.0,medium_high,2.5,False
